WORDCOUNTS,WEIGHT
the,276
of,271
and,154
in,134
to,117
he,91
a,90
his,80
was,71
jameson,45
as,41
for,41
that,40
historical,40
history,39
which,34
it,33
american,31
on,25
be,25
with,23
by,21
an,20
at,19
not,18
him,18
its,17
this,16
but,15
had,15
s,15
were,14
from,13
association,13
john,12
students,12
united,11
more,11
work,11
who,11
states,11
is,11
their,10
university,10
never,10
dr,10
franklin,10
one,9
all,9
many,9
great,9
made,9
when,9
important,8
council,8
research,8
been,7
most,7
department,7
published,7
other,7
documents,7
time,7
upon,7
part,7
such,7
years,7
professor,7
national,7
than,7
out,6
library,6
only,6
manuscripts,6
degree,6
carnegie,6
there,6
number,6
president,6
year,6
congress,6
personal,6
review,6
articles,6
institution,6
so,6
chicago,6
early,6
archives,5
materials,5
always,5
letters,5
college,5
nearly,5
often,5
series,5
members,5
added,5
societies,5
could,5
served,5
government,5
chairman,5
papers,5
has,5
well,5
himself,5
gave,5
own,5
appointed,5
learned,5
interest,5
humor,5
adams,5
would,5
field,5
charles,5
attention,5
society,5
may,4
collections,4
importance,4
b,4
country,4
under,4
established,4
or,4
director,4
teaching,4
these,4
biography,4
first,4
position,4
herbert,4
are,4
scholars,4
called,4
ought,4
mind,4
new,4
those,4
original,4
some,4
through,4
subject,4
must,4
services,4
editor,4
have,4
washington,4
after,4
profession,4
subjects,4
extraordinary,4
c,4
scholarship,4
brown,4
enterprise,4
like,4
commission,4
annual,4
up,4
influence,4
division,4
now,3
whose,3
m,3
no,3
reviews,3
foreign,3
wrote,3
edward,3
death,3
e,3
active,3
still,3
large,3
achievements,3
life,3
edited,3
studies,3
thought,3
england,3
committee,3
royal,3
result,3
chief,3
friend,3
volume,3
sources,3
long,3
tyler,3
evidence,3
historians,3
view,3
intellectual,3
came,3
head,3
chosen,3
while,3
program,3
last,3
late,3
what,3
theodore,3
devoted,3
them,3
form,3
list,3
british,3
cause,3
hopkins,3
because,3
information,3
meetings,3
received,3
resignation,3
became,3
older,3
records,3
andrew,3
our,3
until,3
accuracy,3
quality,3
graduate,3
andrews,3
september,3
publication,3
doctor,3
accept,3
although,3
period,3
dictionary,3
colleagues,3
keen,3
britain,3
publications,3
documentary,3
given,3
william,3
should,3
set,2
will,2
knew,2
i,2
books,2
done,2
moses,2
york,2
century,2
wisdom,2
taken,2
continued,2
act,2
rather,2
if,2
amherst,2
doctoral,2
happily,2
developed,2
service,2
